lemma,original_form,reason,url
вциома,ВЦИОМ,abbreviation_allcaps,https://social.hse.ru/?vision=enabledq?vision=enabled
экопси,ЭКОПСИ,abbreviation_allcaps,https://social.hse.ru/?vision=enabledq?vision=enabled
учёный,Ученый,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
зимний,Зимняя,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
фсн,ФСН,abbreviation_allcaps,https://social.hse.ru/?vision=enabledq?vision=enabled
ранний,Раннее,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
высокий,Высшая,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
твой,Твой,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
прикладной,Прикладная,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
обществознание,обществознания,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
персонология,Персонология,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
семейный,семейная,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
психоаналитический,психоаналитическая,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
аспирантский,Аспирантская,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
маркетинговый,маркетинговых,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
нейронаука,нейронаук,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
гражданский,гражданского,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
некоммерческий,некоммерческого,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
стабильность,стабильности,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
социокультурный,социокультурных,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
сетевой,сетевого,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
экономико-социологический,экономико-социологических,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
научно-учебный,Научно-учебная,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
интерфейс,интерфейсов,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
политико-психологический,политико-психологических,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
салютогенный,салютогенной,pymorphy3:Name,https://social.hse.ru/?vision=enabledq?vision=enabled
свой,своих,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
студенческий,Студенческий,mid_sentence_cap,https://social.hse.ru/?vision=enabledq?vision=enabled
